Site,y,x,Kabupaten,Lokasi,Cover_pct,substrat,Species_dom,Other1,Other2,Macroalga,Notes,Sedimen_type,Suhu (°C),Salinitas (ppt),pH,Arus (m/s),Kecerahan (cm),Kedalaman (cm),Nitrat (mg/L),Fosfat (mg/L),MPT (mg/L)
JPRSG01,-6.511672,110.669646,Jepara,Pantai Ujung Piring,14.78,pasir,Thallasia hemprichii,Enhalus acoroides,Cymodocea rotundata,40,,Gravel,30.2,29,7.1,0.0556,100,100,2.45,1.44,1.67
JPRSG02,-6.50291,110.67042,Jepara,Pantai Blebak,18.85,pasir putih,Cymodocea rotundata,Thallasia hemprichii,Oceana serrulata,25,,Gravel,30.5,35,7.6,0.0615,60,60,0.8,0.16,2.5
JPRSG03,-6.57597,110.63093,Jepara,Perairan Pulau Panjang,68.29,pasir,Oceana serrulata,Enhalus acoroides,Halophila ovalis,3,,Sand,29.1,35,7.6,0.0444,180,180,3.94,2.13,0.83
JPRSG04,-6.56412,110.65377,Jepara,"Pantai Prawean, Bandengan",60.71,pasir berlumpur,Oceana serrulata,Thallasia hemprichii,Cymodocea rotundata,50%,aktivitas pembangunan/reklamasi,Sand,30.5,32,6.5,0.04,80,100,1.39,0.48,5.83
JPRSG05,-6.56408,110.65236,Jepara,Pantai Kartini,9.23,rubble,Thallasia hemprichii,Enhalus acoroides,,,dekat dermaga penyebrangan,Sand,29.8,34,7.4,0.0494,140,140,0.83,0.36,6.67
JPRSG06,-6.63733,110.63885,Jepara,Pantai Semat,33.83,pasir & rubble,Thallasia hemprichii,Enhalus acoroides,Cymodocea rotundata,,area wisata pantai,Sand,31.3,32,7.5,0.0444,30,130,1.09,0.34,10.83
JPRSG07,-6.62193,110.63732,Jepara,Pantai Teluk Awur,26.59,pasir,Oceana serrulata,Enhalus acoroides,Thallasia hemprichii,,area tambak,Sand,32.6,32,7.6,0.0635,140,140,6.87,3.4,2.5
CLCPSG02,-7.765306,109.030183,Cilacap,Pantai Karang Tengah,49.71,pasir berlumpur,Thallasia hemprichii,,,,"degradasi muara sungai, sedimentasi dan unsur hara tinggi",,,,,,60,160,,,3.04
CLCPSG03,-7.762839,109.035897,Cilacap,Pantai Tebeng,35.11,pasir berlumpur,Halodule pinifolia,Thallasia hemprichii,Cymodocea rotundata,,"degradasi muara sungai, sedimentasi dan unsur hara tinggi",,,,,,50,140,,,4.72
RMBGSG01,-6.667458,111.260958,Rembang,Pulau Marongan ,46.93,pasir berlumpur,Thallasia hemprichii,Enhalus acoroides,Cymodocea rotundata,33%,"tingginya penutupan epifit, perairan jernih, tingginya abrasi. ",,,,,,,,,,
RMBGSG02,-6.637642,111.468644,Rembang,Pantai Leran,38.06,pasir berlumpur,Thallasia hemprichii,Enhalus acoroides,Cymodocea rotundata,43.18,"dekat PLTU Kab.Rembang, banyak aktivitas kapal nelayan",,,,,,40,140,,,
RMBGSG03,-6.627794,111.478906,Rembang,Pantai Leran Timur,52.46,lumpur berpasir,Thallasia hemprichii,Enhalus acoroides,Cymodocea rotundata,56.81,"dekat PLTU Kab.Rembang, banyak aktivitas kapal nelayan. Ada budidaya udang",,,,,,40,160,,,
